"","networklevel(nfl1)","networklevel(nfl2)","networklevel(nfl3)"
"connectance",0.541176470588235,0.575,0.5
"web asymmetry",0.545454545454545,0.523809523809524,0.523809523809524
"links per species",2.09090909090909,2.19047619047619,1.9047619047619
"number of compartments",1,1,1
"compartment diversity",NA,NA,NA
"cluster coefficient",0.6,0.5,0.5
"nestedness",24.0635510072634,16.5509459882723,27.437296486181
"NODF",66.9765166340509,73.1098901098901,61.5384615384615
"weighted nestedness",0.351569059336127,0.411452058322994,0.37888376971386
"weighted NODF",37.720156555773,50.1703296703297,30.9294871794872
"interaction strength asymmetry",0.0829834680605219,0.112826412824688,0.157150130703572
"specialisation asymmetry",-0.222228116120144,-0.19130025023762,-0.300973723143112
"linkage density",4.58466175762272,4.988452655226,4.03784806190313
"weighted connectance",0.208393716255578,0.237545364534572,0.192278479138244
"Fisher alpha",20.4077892983283,16.9792407789573,14.2093878656169
"Shannon diversity",3.22647218856387,3.35264329347083,2.94727512351792
"interaction evenness",0.726249260247535,0.765089665804904,0.672582658488853
"Alatalo interaction evenness",0.605796562947977,0.721652011223072,0.545104167897325
"H2",0.252259579596518,0.216002591263581,0.36240563903774
"number.of.species.HL",17,16,16
"number.of.species.LL",5,5,5
"mean.number.of.shared.partners.HL",1.63235294117647,1.71666666666667,1.325
"mean.number.of.shared.partners.LL",5.2,6.2,4.1
"cluster.coefficient.HL",0.732183908045977,0.836974789915966,0.697757847533632
"cluster.coefficient.LL",0.601081812035159,0.613970588235294,0.620235426008969
"weighted.cluster.coefficient.HL",0.991157188595823,1,0.989706273848611
"weighted.cluster.coefficient.LL",0.669362246818764,0.670348062712771,0.47112296649878
"niche.overlap.HL",0.451983538802022,0.480059194082178,0.429780074806852
"niche.overlap.LL",0.51049020173985,0.585849253432745,0.413291212353914
"togetherness.HL",0.262254901960784,0.155555555555556,0.255555555555556
"togetherness.LL",0.263333333333333,0.346031746031746,0.2546875
"C.score.HL",0.294444444444444,0.337121212121212,0.411111111111111
"C.score.LL",0.271587301587302,0.206708238851096,0.308026515151515
"V.ratio.HL",1.48630136986301,2.1726618705036,1.24822695035461
"V.ratio.LL",4.175,2.9,2.43589743589744
"discrepancy.HL",9,6,11
"discrepancy.LL",8,7,9
"extinction.slope.HL",9.94099538867186,12.0717353381169,10.7000958566961
"extinction.slope.LL",2.91526807391528,3.06014636634492,2.89362506998895
"robustness.HL",0.893499670640267,0.922021243505707,0.911240709889949
"robustness.LL",0.737044689091023,0.740884832800119,0.73975298091758
"functional.complementarity.HL",128.551574164513,133.7589975899,182.396592968413
"functional.complementarity.LL",98.1828429518542,102.779215722456,152.063256470454
"partner.diversity.HL",1.05679820251118,1.18988042913308,0.772711910960612
"partner.diversity.LL",1.76364788732755,1.79449271437606,1.71364930060514
"generality.HL",3.01525583528538,3.60051173336477,2.22048115799754
"vulnerability.LL",6.15406767996006,6.37639357708724,5.85521496580873
