"","Date","Day","Site","Rep","Area","LT","SD","SM","SC","AS","EL","EC","PP","HH","BW","day"
"1","4.21.2018",3,3,6,360,0.00833333333333333,0,0,0,0.00833333333333333,0,0.00277777777777778,0,0,0,1
"2","4.22.2018",4.5,3,6,360,0.00833333333333333,0,0.00138888888888889,0,0.0236111111111111,0,0.00138888888888889,0,0,0,2
"3","4.23.2018",6,3,6,360,0.00833333333333333,0,0.00277777777777778,0,0.0388888888888889,0,0,0,0,0,3
"4","4.24.2018",12,4,10,2000,0.0075,0.001,5e-04,0,0.0215,0,0.0065,0.0015,0,0,4
"5","4.25.2018",14,4,10,2000,0.009,5e-04,0.001,0.00125,0.021,0,0.00775,0.00075,0.00025,0,5
"6","4.26.2018",16,4,10,2000,0.0105,0,0.0015,0.0025,0.0205,0,0.009,0,5e-04,0,6
"7","4.27.2018",20,4,10,2000,0.012,0,0,0.0045,0.02,0,0.0065,0,0,0,7
"8","4.28.2018",21.3333333333333,4,10,2000,0.0105,0,0.000166666666666667,0.00416666666666667,0.0211666666666667,0,0.00433333333333333,0,0,0,8
"9","4.29.2018",22.6666666666667,4,10,2000,0.009,0,0.000333333333333333,0.00383333333333333,0.0223333333333333,0,0.00216666666666667,0,0,0,9
"10","4.30.2018",24,4,10,2000,0.0075,0,5e-04,0.0035,0.0235,0,0,0,0,0,10
"11","5.1.2018",25.3333333333333,4,10,2000,0.0095,0,0.000833333333333333,0.004,0.0218333333333333,0,0,0,0,0,11
"12","5.2.2018",26.6666666666667,4,10,2000,0.0115,0,0.00116666666666667,0.0045,0.0201666666666667,0,0,0,0,0,12
"13","5.3.2018",28,4,10,2000,0.0135,0,0.0015,0.005,0.0185,0,0,0,0,0,13
"14","5.4.2018",32,4,10,2000,0.013,0,0,0.0025,0.0145,0,0.003,0,0,5e-04,14
"15","5.5.2018",36,4,10,2000,0.0125,0,0,0.0065,0.012,0,0.002,0,0,0,15
"16","5.6.2018",40,4,10,2000,0.016,0,0,0.0025,0.004,0,5e-04,0,0,0.0035,16
"17","5.7.2018",44,4,10,2000,0.014,0,0,0.0055,0.0065,0,0.001,0,0,0.003,17
"18","5.8.2018",48,4,10,2000,0.0155,0,0,0.0015,0.009,0,0,0,0,0.0015,18
"19","5.9.2018",50,4,10,2000,0.0155,0,0,0.001,0.0065,0,0,0,0,0.003,19
"20","5.10.2018",52,4,10,2000,0.0155,0,0,5e-04,0.004,0,0,0,0,0.0045,20
