"","nestedcontribution"
"agromyzidae",1.38048912952841
"allograptaexotica",0.869843918508732
"ammophila",0.15025117048375
"anthophora",-0.434254990204079
"ashmeadiella",8.28979185869678
"ashmeadiella-redlegs",-0.83631889941431
"bee.2",-0.86975914330798
"bee.grey",-0.100529844252445
"bee.med.1",-0.151543240604876
"bee.tiny.blk",-0.774716532921543
"bembecini",-0.494281274049363
"black/bluewasp",-0.442563680957716
"bombylid-blackandwhite",-0.653947185415988
"bombyliid-small,spottedwings",-0.948130179844603
"bombyliid-small,white",-0.486860675814734
"bombyliidae-grey,3stripes",-0.195977306544386
"bombyliidae-grey,slender",0.523150725946696
"bombyliidae-Partsmokeywings",-0.432108068132063
"bombylinae-grey",-0.923680281952217
"bombylinae-orange",-0.852644895209045
"braconidae?",-0.856709458981744
"Calyptecostae",-1.06241258423791
"calypteratefly",-0.589321772692921
"centris",0.70764200907168
"centrispallida",-0.123022986492243
"clickbeetle",-0.413859983376808
"Coleophora",-0.287995673724905
"colletes",5.85736741363959
"collops",-1.06613716484065
"desertswallowtail",-0.0970818153855397
"diadasia",6.92892794980311
"e.volucris",0.41965095176155
"eristalis",-0.906620690274496
"Eumenes?",-0.728876791847898
"Eumeninae-red",1.87818628265236
"Euphilotesmojave",0.422741122689983
"hesperapis",-2.57877519391524
"honeybee",6.63247739908252
"hoplitis?",-1.13442058799617
"hylaeus",5.55557032426639
"lasioglossum",2.88633019464925
"lasioglossum-big",-0.455132391184667
"lasioglossum-red",0.406178098054781
"lasioglossum?",0.57921908606632
"Lithriapteryx",-0.804582440061315
"megachile",-1.11222760120447
"megachilidae-107",-0.861574065300021
"mellisodes",-0.428453446625281
"muscidae?",-0.826714065795857
"omomyia",0.4745507891264
"osmia",-0.30980657014869
"perdita?",-1.02927470593913
"pompilidae",0.199039778167679
"pseudodorosclavatus",-0.156896105059222
"sarcophagidae",-1.38210267283994
"stripedbeetle",-0.457972053064765
"tachinid",1.7062341482465
"tephritidae",-0.303953336572386
"tinybee",-0.134973336765495
"vespidae",-0.572390751952931
"Yponomeutoidea",1.02791627385482
